Dispensary,Product Name,Brand,Ratio,THC (mg),CBD (mg),CBN (mg),Total Cannabinoids (mg),Format,Pieces,Price,Price per 10mg,Notes,Source Date
Trulieve,Sweet Talk Raspberry Dark Chocolate,Sweet Talk,CBN Only,0,0,100,100,Chocolate Bar,10,$15-25,$1.50-2.50,Indica CBN-infused dark chocolate,Apr 2026
Trulieve,Bhang Dark Chocolate - THC,Bhang,THC Only,100,0,0,100,Chocolate Bar,10,$15,$1.50,74% cacao dark chocolate,Apr 2026
Trulieve,Bhang 1:1 THC:CBD Dark Chocolate,Bhang,1:1 THC:CBD,100,100,0,200,Chocolate Bar,20,$25,$1.25,Vegan 74% cacao,Apr 2026
Trulieve,Bhang 2:1 THC:CBN Chocolate,Bhang,2:1 THC:CBN,100,0,50,150,Chocolate Bar,15,$25,$1.67,Sleep-focused formula,Apr 2026
Trulieve,Chocolate Classics 100mg,Various,THC Only,100,0,0,100,Chocolate Bar,10,$15,$1.50,Multiple flavors available,Apr 2026
Trulieve,Chocolate Classics 200mg,Various,THC Only,200,0,0,200,Chocolate Bar,20,$25,$1.25,Multiple flavors available,Apr 2026
Curaleaf,Dark Chocolate 1:1 THC:CBN Mini-Bar,Curaleaf,1:1 THC:CBN,100,0,100,200,Chocolate Bar,20,$24-30,$1.20-1.50,Sleep support formula,Apr 2026 (AZ pricing ref)
Curaleaf,Dark Chocolate 1:1:1 CBD:CBN:THC Bar,Curaleaf,1:1:1 THC:CBD:CBN,100,100,100,300,Chocolate Bar,30,$24-32,$0.80-1.07,Triple ratio balanced,Apr 2026 (AZ pricing ref)
Curaleaf,Pips Dark Chocolate 1:1:1 CBG:CBN:THC,Curaleaf/Pips,1:1:1 CBG:CBN:THC,100,0,100,200+ CBG,Chocolate Pips,20,$25-30,$1.25-1.50,Small chocolate pieces,Apr 2026 (AZ pricing ref)
MÜV,Dark Chocolate Bar - THC,MÜV,THC Only,100,0,0,100,Chocolate Bar,10,$20-28,$2.00-2.80,Premium formulation,Apr 2026 (est)
MÜV,Milk Chocolate Bar - THC,MÜV,THC Only,100,0,0,100,Chocolate Bar,10,$20-28,$2.00-2.80,Premium formulation,Apr 2026 (est)
MÜV,Sugar-Free Chocolate,MÜV,THC Only,100,0,0,100,Chocolate Bar,10,$22-30,$2.20-3.00,Diabetic-friendly option,Apr 2026 (est)
Surterra,Dark Chocolate Mint (THC),Surterra,THC Only,100,0,0,100,Chocolate Bar,10,$13.50-27,$1.35-2.70,Sale price vs regular,Apr 2026
Surterra,Milk Chocolate (THC),Surterra,THC Only,100,0,0,100,Chocolate Bar,10,$12.50-25,$1.25-2.50,Sale price vs regular,Apr 2026
Surterra,Dream +CBN Gummies (not chocolate),Surterra,1:1 THC:CBN,100,0,100,200,Gummies,20,$30-40,$1.50-2.00,Orange Dreamsicle flavor,Apr 2026 (est)
VidaCann,Organic Milk Chocolate,VidaCann,THC Only,100,0,0,100,Chocolate Bar,10,$25-32,$2.50-3.20,Full-spectrum isolate,Apr 2026 (est)
Wyld,Boysenberry 1:1:1 Gummies (not chocolate),Wyld,1:1:1 THC:CBD:CBN,100,100,100,300,Gummies,10,$28-35,$2.80-3.50,Real fruit gummies,Apr 2026 (multi-state)
Betty's Eddies,Ache Away Eddies 1:1:1,Betty's Eddies,1:1:1 THC:CBD:CBN,100,100,100,300,Fruit Chews,10,$24,$2.40,Maryland pricing reference,Apr 2026 (MD pricing)
The Flowery,THC Infused Milk Chocolate Cubez - Passionfruit,The Flowery,THC Only,100,0,0,100,Chocolate Cubez,10,$12,$1.20,Milk chocolate cubes,Apr 2026
The Flowery,THC Infused Milk Chocolate Cubez - Espresso Toffee,The Flowery,THC Only,100,0,0,100,Chocolate Cubez,10,$12,$1.20,Coffee-flavored chocolate,Apr 2026
The Flowery,THC Infused Cubez - Watermelon,The Flowery,THC Only,100,0,0,100,Chocolate Cubez,10,$10,$1.00,Budget-friendly option,Apr 2026
The Flowery,THC Infused Cubez - Orange,The Flowery,THC Only,100,0,0,100,Chocolate Cubez,10,$10,$1.00,Citrus-flavored chocolate,Apr 2026
FLUENT,Dark Chocolate Bar,FLUENT,THC Only,100,0,0,100,Chocolate Bar,10,$25,$2.50,Premium dark chocolate,Apr 2026
Green Dragon,Edibles - Generic Chocolate,Green Dragon,THC Only,100,0,0,100,Chocolate Bar,10,$25-30,$2.50-3.00,Various chocolate products,Apr 2026 (est)
Incredibles,SnooZZZeberry 1:5 CBN:THC Chocolate,Incredibles,1:5 CBN:THC,100,0,20,120,Chocolate Bar,12,$22-26,$1.83-2.17,Sleep-focused blueberry,Apr 2026 (CO pricing ref)
Wana,Fast Asleep 5:1:1:1 CBD:THC:CBN:CBG (not chocolate),Wana,Multi-ratio,20,100,20,160,Gummies,10,$26-30,$2.60-3.00,Mixed berry with melatonin,Apr 2026 (AZ pricing ref)
